Pattern,Reasoning_Clause,Decision
Other/Unspecified,sociated with advanced parkinson’s disease,Denial
Other/Unspecified,"initiated on may 11, 1972; 3",Denial
Other/Unspecified,"amended (the “tfm” or “external analgesics tfm”), which expressly excludes lidocaine-containing products in patch dosage forms from its scope because",Denial
Enforcement Discretion,"or andas do not conform to the terms of the external analgesics tfm, are outside the scope of any enforcement discretion that may exist pursuant to c",Denial
Other/Unspecified,"ed on our review and consideration of these materials, and for the reasons described below, we deny the petitions",Denial
Other/Unspecified,"our review and consideration of these materials, and for the reasons described below, we deny the petitions",Denial
Sufficient Evidence,"stated in section 505(d) of the fd&c act, ""substantial evidence"" means: 4 see drugs@fda: fda-approved dr",Denial
Other/Unspecified,well as other relevant information,Denial
Other/Unspecified,"ons stated below, we deny your petition",Denial
Other/Unspecified,020635 and 021721 pertaining to the solution formulations of levaquin (levofloxacin),Denial
Other/Unspecified,"the significance and variation of each property/measurement is product-, attribute-, and technique-specific",Denial
Other/Unspecified,"knowledge, techniques, and analyses may evolve or improve",Denial
Other/Unspecified,closely as possible and provide detailed scientific justification supporting their proposed product,Denial
Bioequivalence Demonstrated,from ab to bx because they are not bioequivalent to post-december 2012 andas,Denial
Other/Unspecified,"ons described below, your petition is denied in part and granted in part",Denial
Other/Unspecified,before december 2012: (1) anda 065461 approved on aug,Denial
Other/Unspecified,"carefully reviewed the petitions, comments submitted to the docket, and other information available to the agency",Denial
Other/Unspecified,"ed on our review of these materials and for the reasons described below, we conclude that the petitions do not contain facts demonstrating any reasona",Denial
Other/Unspecified,"ons stated below, fda is denying the petitions",Denial
Other/Unspecified,"e, coronavirus disease 2019 (covid-19), caused by a novel coronavirus, sars-cov-2",Denial
Other/Unspecified,"our review of these materials and for the reasons described below, we conclude that the petitions do not contain facts demonstrating any reasonable g",Denial
Other/Unspecified,that the petitions do not contain facts demonstrating any reasonable grounds for the requested action,Denial
Other/Unspecified,"currently a pandemic of respiratory disease, coronavirus disease 2019 (covid-19), caused by a novel coronavirus, sars-cov-2",Denial
Other/Unspecified,"ed on our review of these materials and for the reasons described below, we conclude that the petitions do not contain facts demonstrating any reasona",Denial
Other/Unspecified,"ons stated below, fda is denying the petitions",Denial
Other/Unspecified,"e, coronavirus disease 2019 (covid-19), caused by a novel coronavirus, sars-cov-2",Denial
Other/Unspecified,"our review of these materials and for the reasons described below, we conclude that the petitions do not contain facts demonstrating any reasonable g",Denial
Other/Unspecified,that the petitions do not contain facts demonstrating any reasonable grounds for the requested action,Denial
Other/Unspecified,"currently a pandemic of respiratory disease, coronavirus disease 2019 (covid-19), caused by a novel coronavirus, sars-cov-2",Denial
Other/Unspecified,"ons explained below, we grant your request for a stay in part",Denial
Other/Unspecified,onable and substantial risk of illness or injury that cannot be corrected or eliminated by labeling in accordance with section 516 of the federal food,Denial
Other/Unspecified,fda recognized that affected parties may need some time to establish or adjust treatment plans,Denial
Other/Unspecified,"you are a requestor, as defined in section 505g(q)(3) of the fd&c act and your petition’s request to use alternative testing procedures for stannous",Denial
Other/Unspecified,"te products is a type of relief that could be sought under an omor (see 505g(b)(5) of the fd&c act), the citizen petition process is no longer the app",Denial
Other/Unspecified,e note that information about the omor process is available on fda’s website4 should you pursue that process for your request,Denial
Other/Unspecified,ked questions available via the otc monographs@fda portal at https,Denial
Other/Unspecified,"ed on our review of these materials and for the reasons described below, the petition is denied in all respects",Denial
Other/Unspecified,for both dosage forms,Denial
Other/Unspecified,"approved june 24, 2011",Denial
Other/Unspecified,"approved april 11, 2019",Denial
Other/Unspecified,"our review of these materials and for the reasons described below, the petition is denied in all respects",Denial
Other/Unspecified,the statutory prerequisites for a stay are met regardless of whether apotex submitted [its] anda before or after bayer submitted the forms 3542 for t,Denial
Other/Unspecified,"described above, section 505(q)(1)(f) of the fd&c act requires fda to take final agency action on the petition within 150 days of submission",Denial
Other/Unspecified,"ons explained below, we deny without comment the specific request in the petition regarding whether a 30-month stay of approval of anda 216421 would a",Denial
Other/Unspecified,the anda otherwise meets the requirements for approval under section 505(j) of the fd&c act,Denial
Other/Unspecified,not made a final determination on w,Denial
Other/Unspecified,for such products; and 2,Denial
Other/Unspecified,taken steps to prohibit access by and sales to underage (under 21) consumers for brick-and-mortar stores and/or retail websites; 2,Denial
Other/Unspecified,"the significance and variation of each property/measurement is product-, attribute-, and technique-specific",Denial
Other/Unspecified,"knowledge, techniques, analysis, and statistics may evolve or improve",Denial
Other/Unspecified,closely as possible and provide detailed scientific justification supporting their proposed product,Denial
Insufficient Evidence,serting that an in vitro approach is insufficient to determine be,Denial
Bioequivalence Demonstrated,part of the in vivo be study to ensure the generic drug has the same rate and exte,Denial
Other/Unspecified,"the drugs have a marked potential for abuse with serious consequences that include psychological effects, physical dependence, seizures, suicide, and",Denial
Other/Unspecified,"ons stated below, the petition is denied",Denial
Other/Unspecified,e gabapentin formulation as adjunctive therapy in the treatment of partial onset seizures,Denial
Other/Unspecified,sociated with damage to nerve fibers during shingles infection,Denial
Procedural Issue,"reviewed the petition, the request for supervisory review, the rta letter, and the applicable regulations",Denial
Other/Unspecified,"ons described below, fda denies the petition",Denial
Other/Unspecified,for twenty products,Denial
Other/Unspecified,signed stns pm0005262,Denial
Other/Unspecified,assigned stn pm0006678,Denial
Other/Unspecified,assigned stn tc0009321,Denial
Other/Unspecified,assigned stn tc0009125,Denial
Other/Unspecified,signed stn pm0007069,Denial
Other/Unspecified,being submitted under 21 cfr § 10,Denial
Other/Unspecified,"ons outlined below, we are denying your requests",Denial
Other/Unspecified,filed in the fda division of dockets management under docket no,Denial
Other/Unspecified,"ons discussed below, your petition is denied",Denial
Other/Unspecified,the usa patriot improvement and reauthorization act of 2005 (pira),Denial
Other/Unspecified,signed into law by president george w,Denial
Outside FDA Authority,no authority to grant your request because your petition has been addressed by the meth act,Denial
Other/Unspecified,department of correction institute division and reconsider its decision on your voluntary medwatch report (mw4003 197),Denial
Other/Unspecified,"ing your medwatch report, fda determined that no hrther action was necessary",Denial
Other/Unspecified,carefully reviewed the petition,Denial
Other/Unspecified,"ons described below, the petition is denied",Denial
FDA Agrees/Warrants Action,a category x substance is inappropriate,Denial
Sufficient Evidence,sisted reproduction; and (5) there is no evidence that exogenous use of estradiol has been linked to malformations (petition at 1-2),Denial
Other/Unspecified,"previously listed as a category x substance because, at the time, progestins were viewed as a singularity (pe",Denial
Sufficient Evidence,no evidence that exogenous use of estradiol has been linked to malformations (petition at 1-2),Denial
Other/Unspecified,this decision are discussed below,Denial
Other/Unspecified,ons for this decision are discussed below,Denial
Other/Unspecified,providing the sponsor of the new animal drug with notice that the agency proposes to withdraw approval of the drug and an opportunity for a formal ev,Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users ofthese products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several perfonnance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users ofthese products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users of these products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users of these products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users of these products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://wwvv",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users of these products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users of these products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users of these products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users ofthese products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users of these products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"on discussed below, we are denying your petition",Denial
Procedural Issue,"is of the petition 1 your petition states that it is being submitted under section 4(d) ofthe administrative procedure act, 5",Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several performance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users ofthese products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,"ons stated below, this letter i",Denial
Bioequivalence Demonstrated,ked to specifically allow for consideration of bioequivalence for a generic product if the 90% confidence intervals about the mean calculated for cmax,Denial
Sufficient Evidence,"a highly variable cmax or where, based on clinical evidence, cmax has little therapeutic or toxic implication",Denial
Other/Unspecified,"ons described below, your petition is denied",Denial
Bioequivalence Demonstrated,"the same active ingredients as the approved animal drug product and, with limited exceptions, that it is bioequivalent to the approved animal drug pr",Denial
Other/Unspecified,abbreviated new animal drug applications (anadas) is the goal of the agency’s generic drug review process,Denial
Sufficient Evidence,"clinical evidence, cmax has little therapeutic or toxic implication",Denial
Bioequivalence Demonstrated,ked to specifically allow for consideration of bioequivalence for a generic product if the 90% confidence intervals about the mean calculated for cmax,Denial
Sufficient Evidence,"a highly variable cmax or where, based on clinical evidence, cmax has little therapeutic or toxic implication",Denial
Other/Unspecified,"ons described below, your petition is denied",Denial
Bioequivalence Demonstrated,"the same active ingredients as the approved animal drug product and, with limited exceptions, that it is bioequivalent to the approved animal drug pr",Denial
Other/Unspecified,abbreviated new animal drug applications (anadas) is the goal of the agency’s generic drug review process,Denial
Sufficient Evidence,"clinical evidence, cmax has little therapeutic or toxic implication",Denial
Safety Established,"of its toxicity or other potentiality for harmful effect, or the method of its use, or the collateral measures necessary to its use, [it] is not safe",Denial
Procedural Issue,"stated previously, the act explicitly provides us with the authority to issue a regulation changing the status of an r1c drug to an otc drug (see 21",Denial
Other/Unspecified,is on reasonable grounds,Denial
Other/Unspecified,sociation between talc use in the perineal area and ovarian cancer,Denial
Other/Unspecified,"on and for the additional reasons described below, fda is denying your petitions",Denial
Other/Unspecified,"is of your request, throughout both petitions, can be summarized as comprising three major points: 1",Denial
Other/Unspecified,sociated with asbestos,Denial
Other/Unspecified,ed on the findings of a 1993 national toxicology program study,Denial
Other/Unspecified,the findings of a 1993 national toxicology program study,Denial
Other/Unspecified,"and consideration of the information submitted in your petitions, the comments received in response to the petitions, and review of additional scient",Denial
Other/Unspecified,e-by-case basis and are within the discretion of the agency,Denial
FDA Agrees/Warrants Action,"appropriate, seeks further information, e",Denial
Other/Unspecified,"es, no violation will be identified",Denial
Other/Unspecified,"been a violation, sometimes the issues brought to our attention will be resolved successfully through voluntary compliance; in other instances fda wi",Denial
Procedural Issue,e contact myrna hanna of our regulations staff at (301) 796-5739,Denial
Other/Unspecified,sistant commissioner for policy,Denial
Other/Unspecified,"ons stated below, we are denying your petition",Denial
Other/Unspecified,defined in section 201(i) of the fd&c act [21 u,Denial
Other/Unspecified,"the whole or part of a final disposition, whether affirmative, negative, injunctive, or declaratory in form, of an agency in a matter other than rule",Denial
Other/Unspecified,"the final agency disposition, other than the i",Denial
Other/Unspecified,"you assert that bulk cannabis and cannabis tincture are subject to the pre-1938 exemption, we will not discuss the 1962 exemption further",Denial
Other/Unspecified,"a result, you request that fda conduct a review of gpsi to determine whether adulterated products have been sold for many years and take enforcement",Denial
Other/Unspecified,e-by-base basis and are within the discretion of the agency,Denial
Other/Unspecified,", ""[ w]ere it not for those trade secrets[,]",Denial
Other/Unspecified,"to fda prior to enactment of the bpci act ""reasonably expected - on the basis of applicable law and agency statements - that the trade secrets and co",Denial
Other/Unspecified,to support approval of competitor products would frustrate these sponsors' investment-backed expectation regarding their property and would constitut,Denial
Other/Unspecified,serts that fda should not implement the bpci act in any manner that would raise this constitutional issue an,Denial
Other/Unspecified,taken into consideration,Denial
Sufficient Evidence,"scientific evidence that ingestion of horse meat containing these substances, by any significant percentage of the human population, could cause detr",Denial
Other/Unspecified,"onably expected to become a component of food is a food additive that is subject to premarket approval by fda, unless the substance is generally recog",Denial
Safety Established,safe (gras) among experts qualified by scientific training and experience to evaluate its safety 1 we note that your petition is missing some of the,Denial
Procedural Issue,"your petition is requesting the fda to issue a regulation, it is required by § i 0",Denial
Other/Unspecified,sessment as required by § 10,Denial
Other/Unspecified,ons stated in our response,Denial
Other/Unspecified,that your petition is missing some of the elements required in 21 cfr i 0,Denial
Other/Unspecified,considered the information submitted in the reconsideration petition,Denial
Other/Unspecified,"ons described below, fda denies the reconsideration petition",Denial
Other/Unspecified,e reports of allergic reactions to natamycin used as a drug or ingredient in food,Denial
Other/Unspecified,s of antibiotics page 2 - mr,Denial
Other/Unspecified,common as reactions occurring to other antibiotics,Denial
Other/Unspecified,"ons given above, your request that the commissioner deny or take under advisement action on grn no",Denial
Other/Unspecified,sify natamycin as gras is denied,Denial
Other/Unspecified,e work closely with your physician to identify the specific cause(s),Denial
Other/Unspecified,"above, your request that the commissioner deny or take under advisement action on grn no",Denial
Other/Unspecified,"set forth more fully in that response, fda concluded that a proposed generic drug product referencing copaxone could establish active ingredient same",Denial
Other/Unspecified,"sertions about toxic side effects associated with ""glatiramer-like"" products that had been reviewed by regulatory bodies outside of the united states",Denial
Procedural Issue,e your request solely on the information contained in your original petition (see 21 cfr 10,Denial
Other/Unspecified,"part of your original petition that you would like us to consider, you should submit a new petition, including all the necessary information, under s",Denial
Other/Unspecified,"additional information, not included as part of your original petition that you would like us to consider, you should submit a new petition, includin",Denial
Safety Established,"of its toxicity or other potentiality for harmful effect, or the method of its use, or the collateral measures necessary to its use, is not safe for",Denial
Other/Unspecified,"a category of""behind the counter"" or ""btc"" drugs in this response because these terms appear to refer to the same concept",Denial
Other/Unspecified,"both prescription and btc, which implies that the btc category of drugs would be a subset of nonprescription drugs",Denial
Safety Established,"of its toxicity or other potentiality for harmful effect, or the method of its use, or the collateral measures necessary to its use, is not safe for",Denial
Other/Unspecified,"a category of""behind the counter"" or ""btc"" drugs in this response because these terms appear to refer to the same concept",Denial
Other/Unspecified,"both prescription and btc, which implies that the btc category of drugs would be a subset of nonprescription drugs",Denial
Safety Established,"of its toxicity or other potentiality for harmful effect, or the method of its use, or the collateral measures necessary to its use, is not safe for",Denial
Other/Unspecified,"a category of""behind the counter"" or ""btc"" drugs in this response because these terms appear to refer to the same concept",Denial
Other/Unspecified,"both prescription and btc, which implies that the btc category of drugs would be a subset of nonprescription drugs",Denial
Other/Unspecified,"reviewed the above referenced petition for class ii exemption pursuant to section 510(m)(2) of the federal food, drug, and cosmetic act (fd&c act) as",Denial
Other/Unspecified,class ii devices requiring premarket notification (51 o(k)) under section 51 o(k) of the act,Denial
Procedural Issue,"sification name wheelchair elevator, regulation number 21 cfr 890",Denial
Other/Unspecified,s ii medical device to a class ii (exempt) medical device,Denial
Safety Established,onable assurance of safety and effectiveness for these devices,Denial
Other/Unspecified,a second rld (petition at 1 ),Denial
Other/Unspecified,you are requesting that fda designate a generic 3 § 314,Denial
Other/Unspecified,"issued, paragraph u)(5) was redesignated as paragraph u)(6) (see section 119(b) of the food and drug administration modernization act, public law i 0",Denial
Safety Established,sifies as therapeutically equivalent those products that meet the following general criteria: (i) they are approved as safe and effective; (2) they ar,Denial
Procedural Issue,"that since this regulation was issued, paragraph u)(5) was redesignated as paragraph u)(6) (see section 119(b) of the food and drug administration mo",Denial
Other/Unspecified,"completed its review of your citizen petition, filed by fda on september 14, 2015",Denial
Other/Unspecified,"sociate commissioner for policy on august 13, 2015",Denial
Procedural Issue,"we are denying your request for a regulation, your request for ""the inclusion in the package insert[s] for",Denial
Procedural Issue,sociation rights and humanitarian law) implementing the emergency discretion and emergency [requested] regulation on a regular basis,Denial
Procedural Issue,"we are denying your request for a regulation, we are denying your request to hold hearings, permit public comments, and issue regulations implementin",Denial
Other/Unspecified,"ons described in this response, the petition is denied",Denial
Other/Unspecified,an additional rld because of the formulation differences between abbvie's calcijex and the approved generic products for calcitriol injection (petiti,Denial
Other/Unspecified,"for calcitriol injection contain different ""non-exception excipients"" compared to calcijex and therefore fda must designate an approved anda as an ad",Denial
Other/Unspecified,"been discontinued from sale and that the only currently marketed generic product for calcitriol injection is akorn's calcitriol injection, 1 mcg/ml,",Denial
Other/Unspecified,"the term ""diet"" is false and misleading; (2) issue a warning letter to pepsico inc",Denial
FDA Agrees/Warrants Action,"the use of the term ""diet"" is false and misleading; (3) take appropriate enforcement actions under the fd&c act if such violations are not corrected;",Denial
Other/Unspecified,"ks us to conduct ""a sweeping investigation ofproducts containing artificial sweeteners"" to determine whether any brand names or labels are false or mi",Denial
Other/Unspecified,"t track designation, accelerated approval, and breakthrough therapy designation), and other programs, such as orphan drug designation, which may quali",Denial
Other/Unspecified,"ons stated below, your petition is denied",Denial
Other/Unspecified,"initially approved as a prescription drug on february 18, 1999, for the treatment of occasional constipation (new drug application (nda) 020698, subm",Denial
Other/Unspecified,"ons described below, we are denying your petition under 21 c",Denial
Safety Established,is of inadequate oncological safety information and testing,Denial
Other/Unspecified,sify it to a class iii device and require pma assessment,Denial
Other/Unspecified,sessment of the cdrh's action regarding both the ‘power morcellator’ and ‘pneumoliner’ devices,Denial
FDA Agrees/Warrants Action,"ons discussed below, we believe that the pnuemoliner containment system (pneumoliner device) is appropriately classified in class ii with the establis",Denial
Safety Established,onable assurance of safety and effectivene,Denial
Other/Unspecified,not been previously approved by fda for use in cats,Denial
Safety Established,the proposed change would require safety or,Denial
FDA Agrees/Warrants Action,obtained inappropriately,Denial
Other/Unspecified,"ons, the actions you request are not available at this time, and the petition is therefore denied",Denial
Procedural Issue,"sium chloride oral solution products, such requests are not properly the subject of a citizen petition under 21 cfr 10",Denial
Procedural Issue,stated in 21 cfr 10,Denial
Other/Unspecified,"the petition's allegations, and before taking any potential action, cder staff would need to engage in a process of fact gathering and further inquir",Denial
Other/Unspecified,you have alleged and requested,Denial
Procedural Issue,e your request solely on the information contained in your original petition (see 21 cfr 10,Denial
Other/Unspecified,"part of your original petition that you would like us to consider, you should submit a new petition, including all the necessary information, under s",Denial
Other/Unspecified,"additional information, not included as part of your original petition that you would like us to consider, you should submit a new petition, includin",Denial
Other/Unspecified,bleeding may be a sign of endornetrial cancer,Denial
Other/Unspecified,t cancer should consult with their oncologists before use of the product,Denial
Other/Unspecified,"ons stated below, the petition is denied",Denial
Safety Established,the safety and effectiveness of a disintegrated dosage form has not been established in cats,Denial
Safety Established,"a result, the proposed change does require you to conduct investigations to demonstrate safety and/or effectiveness of the drug for its proposed inte",Denial
Procedural Issue,e your request solely on the information contained in your original petition (see 21 cfr 10,Denial
Other/Unspecified,"part of your original petition that you would like us to consider, you",Denial
Other/Unspecified,"additional information, not included as part of your original petition that you would like us to consider, you",Denial
Other/Unspecified,"follows: (ff) the term ""dietary supplement""",Denial
Other/Unspecified,a conventional food or as a sole item of a meal or the diet; and (c) is labeled as a dietary supplement,Denial
Other/Unspecified,"e d:yag pulsed dental laser system device (dental laser system) (k151763), on the alleged grounds that millennium provided histologic data in its 51o(",Denial
Sufficient Evidence,"ed""2 and that ""none of the studies actually show [sic] bone regeneration""3",Denial
Other/Unspecified,"er system implies superiority to conventional therapy ""in terms of [bone] regeneration""4• fda interprets your request as asking fda to initiate enforc",Denial
Other/Unspecified,"the rld has been moved to the discontinued drug product list section of the orange book, and you are requesting, in part, that fda designate a generi",Denial
Other/Unspecified,"an rld, we interpret your request as a request for fda to select a therapeutically equivalent product as a reference standard for a proposed 4 id",Denial
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions sp",Denial
Other/Unspecified,updated to reflect its rld designation,Denial
Sufficient Evidence,"first been ""tested through randomized, controlled, experimental studies"" (reconsideration petition at page 1)",Denial
Other/Unspecified,"ons set forth below, your petition is denied",Denial
Other/Unspecified,"), and proton pmnp inhibitors (ppis)",Denial
Other/Unspecified,"issued a final monograph for otc antacid products, and an otc antacid product in a form suitable for oral administration is generally recognized as s",Denial
Other/Unspecified,"ons described below, we are denying your request",Denial
Other/Unspecified,sification of glutaraldehyde-based tooth desensitizers from devices to drugs,Denial
Other/Unspecified,sifications as device,Denial
Other/Unspecified,crosslinking proteins from saliva and tubule fluid and state that these proteins aggregate and plug the tubules,Denial
Other/Unspecified,an example of your description,Denial
Safety Established,"an anda applicant is relying on fda's finding that the rld is safe and effective, the rld is a drug product approved under section 505(c) ofthe fd&c",Denial
Safety Established,made a finding of safety and effectiveness,Denial
Other/Unspecified,"070914, 070915,070916, and 070918) as additional rlds (petition at 1)",Denial
Sufficient Evidence,"the rld ""is precluded from doing so because the rld product nubain is not available in the market to conduct product development studies",Denial
Other/Unspecified,"a preliminary matter, we note that an rld generally is a drug product approved under section 505( c) of the fd&c act based on full reports of investi",Denial
Other/Unspecified,full reports of investigations of s,Denial
Other/Unspecified,that an rld generally is a drug product approved under section 505( c) of the fd&c act based on full reports of investigations of s,Denial
Other/Unspecified,"you allege that this device is neither cleared nor approved and is misbranded under section 502(0) of the federal food, drug, and cosmetic act",Denial
Other/Unspecified,forwarded to the office of compliance within the center for devices and radiological health (cdrh),Denial
Other/Unspecified,"you allege that this device is neither cleared nor approved and is misbranded under section 502( o) of the federal food, drug, and cosmetic act",Denial
Other/Unspecified,forwarded to the office of compliance within the center for devices and radiological health (cdrh),Denial
Other/Unspecified,"medefil’s request is for a te code, this response is limited to medefil’s te code request and does not address the “same product” exception for certa",Denial
Other/Unspecified,addressed medefil’s separate requests for refunds of fy 2019 through fy 2023 program fees in separate correspondence to medefil,Denial
Bioequivalence Demonstrated,"“approved drug products that are pharmaceutical equivalents for which bioequivalence has been demonstrated, and that can be expected to have the same",Denial
Procedural Issue,e your request solely on the information contained in your original petition (see 21 cfr 10,Denial
Other/Unspecified,"part of your original petition that you would like us to consider, you should submit a new petition, including all the necessary information, under s",Denial
Other/Unspecified,"additional information, not included as part of your original petition that you would like us to consider, you should submit a new petition, includin",Denial
Other/Unspecified,a structure/function claim or health claim,Denial
Safety Established,sess whether other factor producers have sufficient safeguards to ensure they will not experience similar events,Denial
Safety Established,"sure that such drug meets the requirements of the act as to safety and has the identity and strength, and meets the quality and purity characteristics",Denial
Other/Unspecified,"ons stated below, we are denying your petition",Denial
Other/Unspecified,"pesticide chemical residues, after treatments",Denial
Other/Unspecified,your petition was improperly submitted as a citizen petition rather than a petition for reclassification,Denial
Other/Unspecified,e refer to 21 cfr 860,Denial
Other/Unspecified,"sification, please reference the docket number above",Denial
Procedural Issue,e contact jean olson of our regulations staff at jean,Denial
Bioequivalence Demonstrated,actual or potential bioequivalence problems have not been resolved with adequate evidence of bioequivalence,Denial
Other/Unspecified,is of fda’s te evaluations,Denial
Other/Unspecified,"signed to the fresenius acetaminophen product, is assigned to injectable aqueous and, in certain instances, intravenous non-aqueous solutions, as the",Denial
Other/Unspecified,"therapeutically equivalent, there may be important differences 3 § 314",Denial
Other/Unspecified,"es/approved-drug-products-therapeutic-equivalence- evaluations-orange-book, id",Denial
Other/Unspecified,"ed under foia and ‘(i) that because of the nature of their subject matter, the agency determines have become or are likely to become the subject of su",Denial
Other/Unspecified,been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u,Denial
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Denial
Other/Unspecified,"ed under foia and ‘(i) that because of the nature of their subject matter, the agency determines have become or are likely to become the subject of su",Denial
Other/Unspecified,been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u,Denial
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Denial
Other/Unspecified,"ed under foia and ‘(i) that because of the nature of their subject matter, the agency determines have become or are likely to become the subject of su",Denial
Other/Unspecified,been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u,Denial
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Denial
Bioequivalence Demonstrated,actual or potential bioequivalence problems have not been resolved with adequate evidence of bioequivalence,Denial
Other/Unspecified,is of fda’s te evaluations,Denial
Other/Unspecified,signed to the 3 § cfr 314,Denial
Other/Unspecified,"es/approved-drug-products-therapeutic-equivalence- evaluations-orange-book, identifies drug products approved under section 505 of the federal food, d",Denial
Other/Unspecified,", 505(b)(2) ndas, and abbreviated new drug applications",Denial
Other/Unspecified,"on(s) stated above, we are denying your petition",Denial
Other/Unspecified,well as representative information known to the petitioner which is unfavorable to the petitioner's position,Denial
Other/Unspecified,"t, fda has granted at least some citizen petitions requesting that the agency post records consistent with 5 u",Denial
Other/Unspecified,"that in the past, fda has granted at least some citizen petitions requesting that the agency post records consistent with 5 u",Denial
Other/Unspecified,"ed under foia and ‘(i) that because of the nature of their subject matter, the agency determines have become or are likely to become the subject of su",Denial
Other/Unspecified,been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u,Denial
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Denial
Other/Unspecified,"details for public meetings are finalized, fda will post information on its website",Denial
Procedural Issue,"fda action on a meeting does not constitute final administrative action subject to judicial review, this response is not reviewable by a court",Denial
Public Health Benefit,that such meetings would be in the public interest,Denial
Other/Unspecified,"ed under foia and ‘(i) that because of the nature of their subject matter, the agency determines have become or are likely to become the subject of su",Denial
Other/Unspecified,been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u,Denial
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Denial
Procedural Issue,e submit a new citizen petition under 21 cfr 10,Denial
Other/Unspecified,"ons described, the agency denies the petition",Denial
Other/Unspecified,"on(s) stated above, we are denying your petition",Denial
Other/Unspecified,well as representative information known to the petitioner which is unfavorable to the petitioner's position,Denial
Other/Unspecified,"t, fda has granted at least some citizen petitions requesting that the agency post records consistent with 5 u",Denial
Other/Unspecified,"that in the past, fda has granted at least some citizen petitions requesting that the agency post records consistent with 5 u",Denial
Other/Unspecified,"details for public meetings are finalized, fda will post information on its website",Denial
Procedural Issue,"fda action on a meeting does not constitute final administrative action subject to judicial review, this response is not reviewable by a court",Denial
Public Health Benefit,that such meetings would be in the public interest,Denial
Other/Unspecified,"ed under foia and ‘(i) that because of the nature of their subject matter, the agency determines have become or are likely to become the subject of su",Denial
Other/Unspecified,been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u,Denial
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Denial
Other/Unspecified,well and often require the assessment of a specialist rather than a family physician to make a diagnosis (petition at 1 and 2),Denial
Other/Unspecified,"ons discussed below, this is not a basis to grant the requests in your petition",Denial
